Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Leliegracht;48;1;1015 DH;AMSTERDAM;De Groot en Compagnons ;020-6464796;In verkoop genomen;€ 600,000;Kosten koper;€ 7,692;€ 570,000;€ 7,308;  ;;nee;6-5-2019;8-7-2019;;2-8-2019;12-7-2019;12-7-2019;26-7-2019;;;68;78;281;;;;3;;;3;2;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 600,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;80;D;1015 AC;AMSTERDAM;Jaap Admiraal Makelaardij b.v. ;020-3790900;In verkoop genomen;€ 625,000;Kosten koper;€ 8,117;€ 675,000;€ 8,766;  ;;nee;7-5-2019;23-5-2019;;19-8-2019;23-5-2019;23-5-2019;19-8-2019;;;17;77;293;;7;;14;;1800;3;2;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 625,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Noordermarkt;32;B;1015 MZ;AMSTERDAM;Visch & van Zeggelaar Amsterdam ;020 2091911;In verkoop genomen;€ 655,000;Kosten koper;€ 10,234;  ;  ;  ;;nee;22-5-2019;17-7-2019;;6-8-2019;6-8-2019;6-8-2019;;;;77;64;195;;;;;;;2;1;Appartement;;bovenwoning;;;;A;;27-3-2029;Ingetrokken;;in overleg;1;€ 695,000;€ 655,000;27-6-2019;€ 40,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Noordermarkt;32;C;1015 MZ;AMSTERDAM;Visch & van Zeggelaar Amsterdam ;020 2091911;In verkoop genomen;€ 655,000;Kosten koper;€ 10,077;  ;  ;  ;;nee;22-5-2019;;;6-8-2019;6-8-2019;6-8-2019;;;;77;65;194;;;;;;;2;1;Appartement;;bovenwoning;;;;A;;27-3-2029;Ingetrokken;;in overleg;1;€ 695,000;€ 655,000;27-6-2019;€ 40,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;92;E;1015 AD;AMSTERDAM;Makelaardij Prins van Wijngaarden ;+ 31 50 2092140;In verkoop genomen;€ 675,000;Kosten koper;€ 6,618;  ;  ;  ;;nee;18-6-2019;;;16-8-2019;16-8-2019;16-8-2019;;;;60;102;300;;;;4;;1850;2;1;Appartement;;bovenwoning;;;;G;;1-11-2028;Ingetrokken;;in overleg;0;€ 675,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;209;#NAME?;1015 DT;AMSTERDAM;Dokter makelaars ;020-6208816;In verkoop genomen;€ 699,000;Kosten koper;€ 7,681;  ;  ;  ;;nee;30-4-2019;;;29-7-2019;29-7-2019;29-7-2019;;;;91;91;271;;;4;;;1910;3;2;Appartement;;bovenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 699,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Palmgracht;18;HS;1015 HM;AMSTERDAM;VHM Makelaars Amsterdam ;020-7640855;In verkoop genomen;€ 725,000;Kosten koper;€ 7,398;  ;  ;  ;;nee;21-5-2019;;;30-7-2019;30-7-2019;30-7-2019;;;;71;98;342;;;9;;;1908;2;1;Appartement;;benedenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 725,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tuinstraat;4;B;1015 PE;AMSTERDAM;Peter Bruin Makelaardij o.g. b.v. ;020-6768022;In verkoop genomen;€ 760,000;Kosten koper;€ 8,172;€ 750,000;€ 8,065;  ;;nee;10-7-2018;22-8-2018;;23-7-2019;31-7-2018;31-7-2018;31-7-2018;;;22;93;310;;;;21;;-1906;3;2;Appartement;;bovenwoning;;;;C;;27-6-2028;Verkocht;;in overleg;0;€ 760,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;114;A;1015 AE;AMSTERDAM;Peters en Partners B.V. ;020 - 22 500 33;In verkoop genomen;€ 775,000;Kosten koper;€ 7,045;€ 757,500;€ 6,886;  ;;nee;14-6-2019;3-7-2019;;12-8-2019;3-7-2019;3-7-2019;2-9-2019;;;20;110;278;;;;;;;3;2;Appartement;;benedenwoning;;;;;;;Verkocht;;in overleg;0;€ 775,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Anjeliersstraat;470;C;1015 NL;AMSTERDAM;Broersma Makelaardij ;020-3059777;In verkoop genomen;€ 785,000;Kosten koper;€ 9,813;  ;  ;  ;;nee;25-6-2019;;;1-8-2019;1-8-2019;1-8-2019;;;;38;80;228;;;1;5;;;3;2;Appartement;;bovenwoning;;;;A;1.12;6-6-2029;Ingetrokken;;in overleg;0;€ 785,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Violettenstraat;10;bv;1015 NP;AMSTERDAM;BrinkBorgh Makelaardij ;020-6709992;In verkoop genomen;€ 800,000;Kosten koper;€ 4,444;€ 800,000;€ 4,444;  ;;nee;23-5-2019;5-7-2019;;12-8-2019;5-7-2019;5-7-2019;2-9-2019;;;44;180;596;;;;;;;7;4;Appartement;;bovenwoning;;;;C;1.53;23-11-2028;Verkocht;;in overleg;0;€ 800,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;67;#NAME?;1015 CE;AMSTERDAM;Makelaarskantoor Babs Persoons B.V. ;020-5205888;In verkoop genomen;€ 850,000;Kosten koper;€ 7,658;€ 840,000;€ 7,568;  ;;nee;1-5-2019;29-5-2019;;21-8-2019;29-5-2019;29-5-2019;21-8-2019;;;29;111;323;;;9;;;1963;3;2;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 850,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;120;#NAME?;1015 EA;AMSTERDAM;Marty Straatsma makelaardij ;020-6790290;In verkoop genomen;€ 900,000;Kosten koper;€ 8,036;  ;  ;  ;;nee;27-6-2019;;;7-8-2019;7-8-2019;7-8-2019;;;;42;112;343;;;;27;;1877;3;2;Appartement;;benedenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 900,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerstraat;244;-2;1015 MT;AMSTERDAM;Mar. J. Heule Makelaardij b.v. ;020-6766633;In verkoop genomen;€ 1,000,000;Kosten koper;€ 5,525;€ 932,500;€ 5,152;  ;;nee;26-3-2019;4-6-2019;;25-7-2019;4-6-2019;4-6-2019;31-7-2019;;;71;181;440;;;;;;1879;5;4;Appartement;;bovenwoning;;;;F;;13-3-2029;Verkocht;;in overleg;0;€ 1,000,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Blauwburgwal;7;II;1015 AS;AMSTERDAM;Pappie en Van der Zee Makelaars o/g B.V. ;020-6655606;In verkoop genomen;€ 1,040,000;Kosten koper;€ 7,879;  ;  ;  ;;nee;6-6-2019;;;7-8-2019;7-8-2019;7-8-2019;;;;63;132;340;;5;;14;;;3;2;Appartement;;bovenwoning;;;;E;;27-1-2025;Ingetrokken;;in overleg;0;€ 1,040,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Herenstraat;18;;1015 CB;AMSTERDAM;Slot Makelaardij o.g. ;020-6478229;In verkoop genomen;€ 1,100,000;Kosten koper;€ 4,681;  ;  ;  ;;nee;12-12-2018;;;19-8-2019;19-8-2019;19-8-2019;;;;251;235;632;;11;;24;100;;9;5;Appartement;;bovenwoning;;;;;;;Ingetrokken;;per datum;1;€ 1,175,000;€ 1,100,000;13-6-2019;€ 75,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Noordermarkt;32;D;1015 MZ;AMSTERDAM;Visch & van Zeggelaar Amsterdam ;020 2091911;In verkoop genomen;€ 1,125,000;Kosten koper;€ 11,029;  ;  ;  ;;nee;22-5-2019;;;6-8-2019;6-8-2019;6-8-2019;;;;77;102;307;;;;;;;3;2;Appartement;;bovenwoning;;;;A;;27-3-2029;Ingetrokken;;in overleg;1;€ 1,195,000;€ 1,125,000;27-6-2019;€ 70,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Noordermarkt;32;A;1015 MZ;AMSTERDAM;Visch & van Zeggelaar Amsterdam ;020 2091911;In verkoop genomen;€ 1,175,000;Kosten koper;€ 9,958;  ;  ;  ;;nee;22-5-2019;;;6-8-2019;6-8-2019;6-8-2019;;;;77;118;485;;;;;;;4;3;Appartement;;benedenwoning;;;;A;;27-3-2029;Ingetrokken;;in overleg;1;€ 1,225,000;€ 1,175,000;27-6-2019;€ 50,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Karthuizersplantsoen;7;;1015 LS;AMSTERDAM;Broersma Makelaardij ;020-3059777;In verkoop genomen;€ 1,290,000;Kosten koper;€ 7,963;€ 1,280,000;€ 7,901;  ;;nee;4-9-2018;9-10-2018;;24-7-2019;9-10-2018;9-10-2018;14-6-2019;;;36;162;650;;15;;;;1902;5;2;Appartement;;benedenwoning;;;;;;;Verkocht;;in overleg;0;€ 1,290,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Herengracht;121;B;1015 BG;AMSTERDAM;Keizerskroon Makelaars ;020-4202222;In verkoop genomen;€ 1,300,000;Kosten koper;€ 9,286;  ;  ;  ;;nee;20-6-2019;;;5-8-2019;5-8-2019;5-8-2019;;;;47;140;584;;;;5;;1870;4;2;Appartement;;bovenwoning;;;;F;2.41;15-1-2029;Ingetrokken;;in overleg;0;€ 1,300,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Gietersstraat;51;;1015 HB;AMSTERDAM;PC22 Makelaars Taxateurs o.z. ;020-5733844;In verkoop genomen;€ 1,495,000;Kosten koper;€ 7,188;  ;  ;  ;;nee;4-7-2019;;;5-8-2019;5-8-2019;5-8-2019;;;;33;208;680;;;;;;1992;6;5;Appartement;;bovenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 1,495,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Prinsengracht;151;-C;1015 DR;AMSTERDAM;Ankersmit Makelaardij o.g. ;020 3202020;In verkoop genomen;€ 1,975,000;Kosten koper;€ 6,787;  ;  ;  ;;nee;24-6-2019;;;12-8-2019;12-8-2019;12-8-2019;;;;50;291;1094;;;;;;;7;5;Appartement;;benedenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 1,975,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;18;#NAME?;1015 CP;AMSTERDAM;Keizerskroon Makelaars ;020-4202222;In verkoop genomen;€ 2,395,000;Kosten koper;€ 8,174;  ;  ;  ;;nee;1-4-2019;;;20-8-2019;20-8-2019;20-8-2019;;;;142;293;720;;;1;12;;;8;4;Appartement;;dubbel benedenhuis;;;;;;;Ingetrokken;;in overleg;0;€ 2,395,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;155;2;1015 CL;AMSTERDAM;Parker & Williams Real Estate Service ;020 6750202;In verkoop genomen;€ 2,495,000;Kosten koper;€ 9,901;  ;  ;  ;;nee;23-4-2019;;;2-8-2019;2-8-2019;2-8-2019;;;;102;252;907;;;;25;;1897;7;5;Appartement;;bovenwoning;;;;;;;Ingetrokken;;in overleg;0;€ 2,495,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Egelantiersgracht;62;;1015 RM;AMSTERDAM;Remko Bijvoet Makelaardij B.V. ;020-7794959;In verkoop genomen;€ 2,550,000;Kosten koper;€ 9,922;€ 2,480,000;€ 9,650;  ;;nee;13-6-2019;8-8-2019;16-8-2019;17-8-2019;19-7-2019;19-7-2019;30-8-2019;;;37;257;631;106;;;55;;1897;7;5;Woonhuis;grachtenpand;;tussenwoning;luxe;;;;;Verkocht;;in overleg;0;€ 2,550,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Keizersgracht;50;;1015 CR;AMSTERDAM;Martin van Gelder Makelaar & Taxateur O.G. B.V. ;06 24240733;In verkoop genomen;€ 2,850,000;Kosten koper;€ 10,035;€ 2,225,000;€ 7,835;  ;;nee;13-6-2019;;;12-8-2019;2-8-2019;2-8-2019;4-10-2019;;;51;284;998;240;2;;10;;1622;10;5;Woonhuis;grachtenpand;;tussenwoning;normaal;;;;;Verkocht;;in overleg;0;€ 2,850,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;160;;1015 AH;AMSTERDAM;Martin van Gelder Makelaar & Taxateur O.G. B.V. ;06 24240733;In verkoop genomen;€ 3,150,000;Kosten koper;€ 6,364;  ;  ;  ;;nee;19-11-2018;;;24-7-2019;24-7-2019;24-7-2019;;;;248;495;1661;494;;;38;;;11;0;Woonhuis;grachtenpand;;tussenwoning;normaal;;G;1.95;3-7-2028;Ingetrokken;;in overleg;0;€ 3,150,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
